읍면동,본번,부번
읍상리,32,14
읍상리,32,16
읍상리,32,19
읍상리,32,20
읍상리,32,30
읍상리,32,32
읍상리,32,35
읍상리,32,36
읍상리,32,37
읍상리,32,38
읍상리,32,41
읍상리,32,42
읍상리,32,43
읍상리,32,44
읍상리,32,57
읍상리,32,59
읍상리,34,4
읍상리,36,7
읍상리,38,2
읍상리,38,5
읍상리,48,2
읍상리,49,2
읍상리,50,2
읍상리,51,1
읍상리,55,1
읍상리,55,2
읍상리,55,3
읍상리,56,
읍상리,59,
읍상리,62,3
읍상리,63,3
읍상리,105,4
읍상리,106,2
읍상리,106,7
읍상리,107,1
읍상리,107,3
읍상리,107,4
읍상리,109,8
읍상리,109,15
읍상리,112,1
읍상리,112,7
읍상리,112,8
읍상리,112,16
읍상리,112,17
읍상리,112,20
읍상리,112,23
읍상리,112,28
읍상리,112,31
읍상리,112,32
읍상리,112,33
읍상리,112,34
읍상리,112,35
읍상리,112,36
읍상리,121,1
읍상리,121,4
읍상리,122,3
읍상리,122,6
읍상리,122,7
읍상리,122,9
읍상리,122,20
읍상리,122,22
읍상리,122,23
읍상리,122,25
읍상리,123,9
읍상리,123,10
읍상리,124,3
읍상리,127,1
읍상리,127,5
읍상리,127,7
읍상리,127,8
읍상리,127,9
읍상리,127,15
읍상리,130,1
읍상리,130,2
읍상리,130,3
읍상리,130,4
읍상리,131,
읍상리,132,1
읍상리,146,4
읍상리,146,6
읍상리,147,
읍상리,147,9
읍상리,148,1
읍상리,195,5
읍상리,195,11
읍상리,195,33
읍상리,210,10
읍상리,224,3
읍상리,225,1
읍상리,225,6
읍상리,269,5
읍상리,269,7
읍상리,269,8
읍상리,270,1
읍상리,270,2
읍상리,270,7
읍상리,270,8
읍상리,270,9
읍상리,274,1
읍상리,274,3
읍상리,274,4
읍상리,274,5
읍상리,275,5
읍상리,275,7
읍상리,275,8
읍상리,276,1
읍상리,276,7
읍상리,276,16
읍상리,276,17
읍상리,277,3
읍상리,277,6
읍상리,277,12
읍상리,278,7
읍상리,278,10
읍상리,278,15
읍상리,278,16
읍상리,278,17
읍상리,278,19
읍상리,280,5
읍상리,280,7
읍상리,284,6
읍상리,284,10
읍상리,285,2
읍상리,286,
읍상리,287,
읍상리,288,6
읍상리,288,18
읍상리,288,20
읍상리,288,29
읍상리,288,30
읍상리,288,32
읍상리,288,33
읍상리,288,37
읍상리,288,41
읍상리,288,43
읍상리,288,48
읍상리,288,52
읍상리,288,53
읍상리,289,4
읍상리,289,8
읍상리,289,10
읍상리,291,6
읍상리,291,9
읍상리,291,14
읍상리,292,5
읍상리,292,8
읍상리,293,4
읍상리,294,5
읍상리,295,1
읍상리,295,14
읍상리,295,16
읍상리,295,20
읍상리,295,22
읍상리,295,24
읍상리,295,25
읍상리,298,14
읍상리,300,3
읍상리,300,5
읍상리,300,6
읍상리,300,7
읍상리,300,9
읍상리,300,10
읍상리,301,6
읍상리,301,11
읍상리,302,1
읍상리,302,7
읍상리,302,8
읍상리,302,12
읍상리,305,3
읍상리,306,1
읍상리,306,5
읍상리,306,7
읍상리,306,14
읍상리,306,15
읍상리,307,1
읍상리,307,7
읍상리,308,3
읍상리,308,4
읍상리,308,5
읍상리,308,6
읍상리,308,7
읍상리,308,11
읍상리,308,14
읍상리,309,
읍상리,310,2
읍상리,310,3
읍상리,310,4
읍상리,310,5
읍상리,311,1
읍상리,312,
읍상리,313,1
읍상리,313,2
읍상리,313,3
읍상리,313,5
읍상리,313,7
읍상리,313,9
읍상리,313,13
읍상리,314,1
읍상리,314,5
읍상리,315,1
읍상리,315,3
읍상리,315,4
읍상리,315,7
읍상리,315,8
읍상리,315,10
읍상리,315,11
읍상리,320,1
읍상리,322,3
읍상리,322,4
읍상리,322,7
읍상리,325,
읍상리,326,2
읍상리,326,4
읍상리,326,6
읍상리,326,7
읍상리,326,8
읍상리,326,9
읍상리,326,10
읍상리,327,2
읍상리,327,4
읍상리,327,5
읍상리,327,6
읍상리,327,7
읍상리,328,3
읍상리,328,4
읍상리,328,5
읍상리,328,13
읍상리,329,
읍상리,332,
읍상리,333,
읍상리,334,
읍상리,336,1
읍상리,337,1
읍상리,337,3
읍상리,338,1
읍상리,343,1
읍상리,345,1
읍상리,347,1
읍상리,347,2
읍상리,348,4
읍상리,348,5
읍상리,348,7
읍상리,348,8
읍상리,350,1
읍상리,350,3
읍상리,352,1
읍상리,352,5
읍상리,352,6
읍상리,367,2
읍상리,367,3
읍상리,367,4
읍상리,367,7
읍상리,367,8
읍상리,368,3
읍상리,371,4
읍상리,371,8
읍상리,372,1
읍상리,373,2
읍상리,373,3
읍상리,373,5
읍상리,374,3
읍상리,374,4
읍상리,376,2
읍상리,376,23
읍상리,376,24
읍상리,376,25
읍상리,376,29
읍상리,377,2
읍상리,377,10
읍상리,382,2
읍상리,382,7
읍상리,383,
읍상리,384,1
읍상리,384,2
읍상리,384,3
읍상리,384,4
읍상리,385,9
읍상리,385,10
읍상리,385,23
읍상리,385,25
읍상리,386,1
읍상리,386,2
읍상리,386,4
읍상리,386,6
읍상리,386,18
읍상리,386,31
읍상리,393,2
읍상리,470,
읍상리,493,
읍상리,514,8
읍상리,515,1
읍상리,515,4
읍상리,515,5
읍상리,515,8
읍상리,515,10
읍상리,515,12
읍상리,517,1
읍상리,517,2
읍상리,517,4
읍상리,519,1
읍상리,519,5
읍상리,519,8
읍상리,519,9
읍상리,519,12
읍상리,539,3
읍상리,540,
읍상리,541,4
읍상리,541,5
읍상리,541,7
읍상리,541,8
읍상리,541,9
읍상리,541,10
읍상리,542,1
읍상리,543,2
읍상리,546,2
읍상리,547,
읍상리,563,1
읍상리,563,2
읍상리,563,3
읍상리,563,6
읍상리,563,7
읍상리,563,8
읍상리,566,1
읍상리,566,2
읍상리,572,19
읍상리,574,2
읍상리,581,2
읍상리,582,2
읍상리,582,6
읍상리,583,2
읍상리,583,3
읍상리,583,5
읍상리,584,1
읍상리,584,4
읍상리,584,5
읍상리,584,6
읍상리,584,7
읍상리,584,8
읍상리,584,9
읍상리,585,2
읍상리,585,3
읍상리,585,7
읍상리,585,8
읍상리,585,10
읍상리,585,11
읍상리,586,3
읍상리,586,5
읍상리,587,1
읍상리,587,2
읍상리,587,3
읍상리,589,
읍상리,592,1
읍상리,592,2
읍상리,592,3
읍상리,592,4
읍상리,592,7
읍상리,597,2
읍상리,598,1
읍상리,598,2
읍상리,598,3
읍상리,598,4
읍상리,598,5
읍상리,598,7
읍상리,598,10
읍상리,598,12
읍상리,600,1
읍상리,600,2
읍상리,616,2
읍상리,616,4
읍상리,616,5
읍상리,616,6
읍상리,620,2
읍상리,624,1
읍상리,624,4
읍상리,626,1
읍상리,626,2
읍상리,626,4
읍상리,626,8
읍상리,626,10
읍상리,628,1
읍상리,628,3
읍상리,628,5
읍상리,628,6
읍상리,628,7
읍상리,628,8
읍상리,628,9
읍상리,628,10
읍상리,629,2
읍상리,629,5
읍상리,629,7
읍상리,630,2
읍상리,630,8
읍상리,631,1
읍상리,631,2
읍상리,631,5
읍상리,631,6
읍상리,631,7
읍상리,631,8
읍상리,631,9
읍상리,631,15
읍상리,632,1
읍상리,632,2
읍상리,637,4
읍상리,637,5
읍상리,637,7
읍상리,638,2
읍상리,638,5
읍상리,638,7
읍상리,638,8
읍상리,638,9
읍상리,638,10
읍상리,640,1
읍상리,640,2
읍상리,640,3
읍상리,640,8
읍상리,640,9
읍상리,640,10
읍상리,640,12
읍상리,641,1
읍상리,641,2
읍상리,641,3
읍상리,641,4
읍상리,641,6
읍상리,641,8
읍상리,642,1
읍상리,642,3
읍상리,644,1
읍상리,644,3
읍상리,647,1
읍상리,647,3
읍상리,648,1
읍상리,648,3
읍상리,649,1
읍상리,649,2
읍상리,649,3
읍상리,649,6
읍상리,650,1
읍상리,650,2
읍상리,650,3
읍상리,650,4
읍상리,650,5
읍상리,650,6
읍상리,650,8
읍상리,659,3
읍상리,659,4
읍상리,661,3
읍상리,665,6
읍상리,665,7
읍상리,665,8
읍상리,665,9
읍상리,671,3
읍상리,671,5
읍상리,692,4
읍상리,692,6
읍하리,50,8
읍하리,54,2
읍하리,54,3
읍하리,60,17
읍하리,69,
읍하리,71,
읍하리,74,1
읍하리,75,2
읍하리,75,3
읍하리,75,5
읍하리,77,1
읍하리,79,4
