읍면동,본번,부번,면적
읍상리,32,14,216
읍상리,32,16,213
읍상리,32,19,213
읍상리,32,20,203
읍상리,32,30,213
읍상리,32,32,214
읍상리,32,35,213
읍상리,32,36,226
읍상리,32,37,226
읍상리,32,38,219
읍상리,32,41,223
읍상리,32,42,227
읍상리,32,43,226
읍상리,32,44,231
읍상리,32,57,246
읍상리,32,59,176
읍상리,34,4,125
읍상리,36,7,400
읍상리,38,2,934
읍상리,38,5,1003
읍상리,48,2,317
읍상리,49,2,945
읍상리,50,2,212
읍상리,51,1,310
읍상리,55,1,587
읍상리,55,2,271
읍상리,55,3,119
읍상리,56,,363
읍상리,59,,248
읍상리,62,3,127
읍상리,63,3,383
읍상리,105,4,191
읍상리,106,2,363
읍상리,106,7,539
읍상리,107,1,319
읍상리,107,3,503
읍상리,107,4,980
읍상리,109,8,227
읍상리,109,15,165
읍상리,112,1,302
읍상리,112,7,192
읍상리,112,8,294
읍상리,112,16,168
읍상리,112,17,210
읍상리,112,20,285
읍상리,112,23,347
읍상리,112,28,212
읍상리,112,31,138
읍상리,112,32,146
읍상리,112,33,338
읍상리,112,34,222
읍상리,112,35,278
읍상리,112,36,462
읍상리,121,1,57
읍상리,121,4,178
읍상리,122,3,205
읍상리,122,6,158
읍상리,122,7,207
읍상리,122,9,369
읍상리,122,20,209
읍상리,122,22,106
읍상리,122,23,119
읍상리,122,25,238
읍상리,123,9,271
읍상리,123,10,216
읍상리,124,3,250
읍상리,127,1,400
읍상리,127,5,691
읍상리,127,7,2047
읍상리,127,8,90
읍상리,127,9,439
읍상리,127,15,1824
읍상리,130,1,1623
읍상리,130,2,320
읍상리,130,3,1325
읍상리,130,4,93
읍상리,131,,689
읍상리,132,1,301
읍상리,146,4,136
읍상리,146,6,102
읍상리,147,,1017
읍상리,147,9,71
읍상리,148,1,602
읍상리,195,5,1101
읍상리,195,11,352
읍상리,195,33,196
읍상리,210,10,367
읍상리,224,3,234
읍상리,225,1,227
읍상리,225,6,89
읍상리,269,5,195
읍상리,269,7,404
읍상리,269,8,1009
읍상리,270,1,202
읍상리,270,2,231
읍상리,270,7,76
읍상리,270,8,197
읍상리,270,9,162
읍상리,274,1,336
읍상리,274,3,149
읍상리,274,4,155
읍상리,274,5,197
읍상리,275,5,202
읍상리,275,7,195
읍상리,275,8,218
읍상리,276,1,97
읍상리,276,7,124
읍상리,276,16,174
읍상리,276,17,174
읍상리,277,3,287.3
읍상리,277,6,163
읍상리,277,12,216
읍상리,278,7,365
읍상리,278,10,102.4
읍상리,278,15,88
읍상리,278,16,115
읍상리,278,17,117
읍상리,278,19,151
읍상리,280,5,40
읍상리,280,7,20
읍상리,284,6,25
읍상리,284,10,79
읍상리,285,2,123
읍상리,286,,93
읍상리,287,,155
읍상리,288,6,322
읍상리,288,18,215
읍상리,288,20,128
읍상리,288,29,119
읍상리,288,30,381
읍상리,288,32,258
읍상리,288,33,361
읍상리,288,37,76
읍상리,288,41,192
읍상리,288,43,185
읍상리,288,48,388
읍상리,288,52,129
읍상리,288,53,56
읍상리,289,4,38.72
읍상리,289,8,258
읍상리,289,10,165
읍상리,291,6,82
읍상리,291,9,36.3
읍상리,291,14,347
읍상리,292,5,31.4
읍상리,292,8,291
읍상리,293,4,484
읍상리,294,5,576
읍상리,295,1,391
읍상리,295,14,54
읍상리,295,16,214
읍상리,295,20,60
읍상리,295,22,249
읍상리,295,24,18
읍상리,295,25,30
읍상리,298,14,227
읍상리,300,3,111
읍상리,300,5,110
읍상리,300,6,106
읍상리,300,7,169
읍상리,300,9,135
읍상리,300,10,156
읍상리,301,6,235
읍상리,301,11,188
읍상리,302,1,112
읍상리,302,7,171
읍상리,302,8,262
읍상리,302,12,215
읍상리,305,3,129
읍상리,306,1,251
읍상리,306,5,314
읍상리,306,7,212
읍상리,306,14,165
읍상리,306,15,161
읍상리,307,1,349
읍상리,307,7,304
읍상리,308,3,876
읍상리,308,4,304
